# CUTOFF	ENERGY [MeV]	OMEGA [MeV]	PHSH [deg]	ERE [fm^-(2l+1)]	Flag G_C	Flag G_CT	G_C(rmin,rmin) [MeV^-1 fm^-3]	 G_CT(rmin,rmin) [MeV^-1 fm^-3]
0.0	1.9751	0.5	-22.061869711208793	-0.34694609473708443	0	0	-24.107209163901118	-24.0972007337434
0.0	1.9828	0.5	-23.462341025909495	-0.32034695889787307	0	0	-24.107210213156193	-24.097841568678355
0.0	1.9906	0.5	-24.88170641274448	-0.2962524010673422	0	0	-24.107211173832596	-24.09842190706948
0.0	1.9984	0.5	-26.3018559502575	-0.27456195512949005	0	0	-24.107212040799652	-24.098944187173657
0.0	2.0062	0.5	-27.722853646338674	-0.25490437609057504	0	0	-24.10721282422169	-24.09941737100959
0.0	2.0139	0.5	-29.126515946543766	-0.2372005362246079	0	0	-24.107213526390357	-24.0998433893236
0.0	2.0217	0.5	-30.549338685394666	-0.2207493566434948	0	0	-24.10721417708903	-24.100239136065376
0.0	2.0295	0.5	-31.973119719019895	-0.205590462297983	0	0	-24.10721477894628	-24.100603678891442
0.0	2.0373	0.5	-33.3978628014742	-0.1915571182520735	0	0	-24.107215344514064	-24.10094105081975
0.0	2.045	0.5	-34.80526913429916	-0.17867129759961756	0	0	-24.107215879690937	-24.101250748035138
0.0	2.0528	0.5	-36.23186125534376	-0.1664816995987746	0	0	-24.107216411032965	-24.10154363892949
0.0	2.0606	0.5	-37.659314346914265	-0.15506149556600268	0	0	-24.107216944139466	-24.101817984912884
0.0	2.0684	0.5	-39.087556921553634	-0.14432497871983077	0	0	-24.10721749141274	-24.10207586500809
0.0	2.0761	0.5	-40.49817601991856	-0.13432465440955502	0	0	-24.10721805727035	-24.10231603739293
0.0	2.0839	0.5	-41.927706889143856	-0.1247375874840227	0	0	-24.107218667718215	-24.102546275204695
0.0	2.0917	0.5	-43.35771444008549	-0.11564180047520736	0	0	-24.107219326349256	-24.10276472057063
0.0	2.0995	0.5	-44.78806685606812	-0.10698865075555142	0	0	-24.107220043112015	-24.102972556326534
0.0	2.1072	0.5	-46.20028160199135	-0.09883882910424178	0	0	-24.107220816538923	-24.10316833710095
0.0	2.115	0.5	-47.63089303985981	-0.09094327004079478	0	0	-24.10722167468681	-24.103358057430736
0.0	2.1228	0.5	-49.06140990151999	-0.08337674787529074	0	0	-24.107222614948007	-24.10353993127806
0.0	2.1306	0.5	-50.491679785363374	-0.07610936791742166	0	0	-24.107223643177928	-24.10371468531475
0.0	2.1384	0.5	-51.92155291163936	-0.06911437397581238	0	0	-24.107224764052525	-24.103882969354373
0.0	2.1461	0.5	-53.332564511276146	-0.06245273382286669	0	0	-24.10722596481583	-24.10404331971001
0.0	2.1539	0.5	-54.761230446462115	-0.055929928093969725	0	0	-24.107227278879265	-24.104200421696888
0.0	2.1617	0.5	-56.18909850403415	-0.049614316835736666	0	0	-24.10722869229702	-24.104352632256923
0.0	2.1695	0.5	-57.61605932922903	-0.04348797368226051	0	0	-24.10723020488065	-24.104500383425663
0.0	2.1772	0.5	-59.02374525249236	-0.03760981618846661	0	0	-24.107231793998068	-24.104642250808
0.0	2.185	0.5	-60.44864594231729	-0.031812292135236744	0	0	-24.10723349843297	-24.104782275372976
0.0	2.1928	0.5	-61.872418684281655	-0.026158964946183152	0	0	-24.10723529456045	-24.104918919773972
0.0	2.2006	0.5	-63.29503011458662	-0.020637028028339707	0	0	-24.107237177734536	-24.105052488136504
0.0	2.2083	0.5	-64.69825247895137	-0.015303148129215696	0	0	-24.10723911666894	-24.1051816014235
0.0	2.2161	0.5	-66.11854324543086	-0.010007821739092468	0	0	-24.10724115530714	-24.105309871082074
0.0	2.2239	0.5	-67.53770302603655	-0.004810696004982504	0	0	-24.10724326170032	-24.105435845611805
0.0	2.2317	0.5	-68.9557846154281	0.00029796046284029376	0	0	-24.107245427870392	-24.105559751654617
0.0	2.2394	0.5	-70.35469901526403	0.005263303405600314	0	0	-24.107247616525157	-24.105680247858764
0.0	2.2472	0.5	-71.77087154882675	0.010222885862348305	0	0	-24.107249875538436	-24.105800661953403
0.0	2.255	0.5	-73.18623542113606	0.015119971220857814	0	0	-24.107252167337524	-24.105919606739906
0.0	2.2628	0.5	-74.60091209014179	0.01996240824384333	0	0	-24.107254482183013	-24.106037261704135
0.0	2.2705	0.5	-75.99690795199409	0.024696491875764663	0	0	-24.107256780276455	-24.10615231020999
0.0	2.2783	0.5	-77.4106234712237	0.029452313399611872	0	0	-24.10725911144046	-24.106267902510353
0.0	2.2861	0.5	-78.82407420740284	0.034175045971926436	0	0	-24.10726143596199	-24.10638269506721
0.0	2.2939	0.5	-80.2374122394859	0.03887140072531047	0	0	-24.107263744057107	-24.106496839891324
0.0	2.3016	0.5	-81.63266901221803	0.04348803409719842	0	0	-24.107265997135876	-24.106609030030505
0.0	2.3094	0.5	-83.04623350915163	0.0481511356235739	0	0	-24.10726824462502	-24.10672232174643
0.0	2.3172	0.5	-84.46013099895397	0.05280683964526389	0	0	-24.107270448317994	-24.106835395941772
0.0	2.325	0.5	-85.87449842957936	0.05746123666519522	0	0	-24.107272599975285	-24.106948391207613
0.0	2.3327	0.5	-87.27131741812492	0.06206054254148502	0	0	-24.107274665543812	-24.107059994269804
0.0	2.3405	0.5	-88.68698150362962	0.06673009677973797	0	0	-24.10727669177375	-24.107173238691892
0.0	2.3483	0.5	89.89654672198934	0.07141611393248819	0	0	-24.107278645193997	-24.10728681180949
0.0	2.3561	0.5	88.47918476119169	0.07612448537358749	0	0	-24.107280520343853	-24.107400850192068
0.0	2.3639	0.5	87.0608680167524	0.0808611165503486	0	0	-24.107282312594556	-24.10751549158067
0.0	2.3716	0.5	85.65975365985085	0.08557054747758243	0	0	-24.107283996881613	-24.107629390994337
